,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
140,Kia Sonet HTX Plus Turbo iMT,2021-11-01,Comprehensive,Petrol,5,10000,First Owner,Manual,18.2,998.0,11836.0,10.2
141,Kia Seltos GTX Plus Diesel,2020-11-01,Comprehensive,Diesel,5,70000,First Owner,Automatic,18.0,1493.0,11343.0,14.95
142,Mercedes-Benz C-Class Progressive C,2020-06-01,Comprehensive,Diesel,5,30000,First Owner,Automatic,12.6,1950.0,194.0,37.5
143,Hyundai i20 N-Line N8 DCT,2021-02-01,Comprehensive,Petrol,5,16684,First Owner,Automatic,20.25,998.0,11841.0,11.11
144,Mercedes-Benz AMG C43 4MATIC,2019-07-01,Comprehensive,Petrol,5,30000,First Owner,Automatic,2996.0,38487.0,520.0,67.0
145,Maruti Swift LXI,2012-12-01,Comprehensive,Petrol,5,92543,First Owner,Manual,1197.0,8180.0,113.0,2.74
146,Mahindra XUV700 AX7 AT Luxury Pack,2021-11-01,Comprehensive,Petrol,7,25000,First Owner,Automatic,1999.0,19713.0,380.0,24.75
147,Ford Ecosport 1.5 Diesel Titanium,2016-12-01,Comprehensive,Diesel,5,59870,First Owner,Manual,21.7,1498.0,9896.0,4.95
148,Hyundai i20 Sportz,2016-06-01,Comprehensive,Petrol,5,62700,First Owner,Manual,18.6,1197.0,8183.0,5.22
149,Kia Seltos HTX Plus AT,2019-09-01,Third Party insurance,Diesel,5,42132,First Owner,Automatic,17.8,1493.0,1134.0,14.75
150,Mercedes-Benz CLA 200 CGI,2018-07-01,Third Party insurance,Petrol,5,32000,First Owner,Automatic,15.04,1991.0,183.0,25.75
151,Maruti A-Star,2010-06-01,Comprehensive,Petrol,5,58873,First Owner,Manual,19.0,998.0,661.0,1.82
152,Renault Duster Petrol RXS,2018-11-01,Comprehensive,Petrol,5,10000,First Owner,Automatic,14.99,1498.0,1045.0,7.95
153,Tata Altroz XZ Plus,2022-09-01,Comprehensive,Petrol,5,14069,First Owner,Manual,19.33,1199.0,8683.0,8.24
154,Renault Duster RXL,2014-10-01,Third Party insurance,Diesel,5,80000,First Owner,Manual,19.01,1461.0,10845.0,2.85
155,Honda City i VTEC,2016-03-01,Comprehensive,Petrol,5,57453,First Owner,Manual,17.8,1497.0,1173.0,6.24
156,Volvo XC40 T4,2022-01-01,Zero Dep,Petrol,5,16433,First Owner,Automatic,1969.0,18740.0,300.0,43.75
